group,CANALES
ext,CAP27,https://youpeliculas.box.com/shared/static/45o3m5vo9d0u1apxvw318gw50uvol8n3.flv
ext,CAP28,https://youpeliculas.box.com/shared/static/pyhocfuksq73cyy66x38f0upsuip0zgu.flv
ext,CAP29,https://youpeliculas.box.com/shared/static/peupz8dfenj8bbkghjgtzc3sp25xw7fj.flv
ext,CAP30,https://youpeliculas.box.com/shared/static/63gg91kzj8pefrhxiwaluw53jp7gbzrf.flv
ext,CAP31,https://youpeliculas.box.com/shared/static/s30rt3rcnnqlaoiyte57t3x87l6ktpfl.flv
ext,CAP32,https://youpeliculas.box.com/shared/static/r0fztm52c9smsfpa4jcrojked8x6m31a.flv
ext,CAP33,https://youpeliculas.box.com/shared/static/3udo2pnouc4gf2vrphej6i0rrytsx5g1.flv
ext,CAP34,https://youpeliculas.box.com/shared/static/55nes7garakihrehbcmx6t4ayqv2hgk3.flv
ext,CAP35,https://youpeliculas.box.com/shared/static/pnf1yu24axlwygl6rntyzih7w5dik3ar.flv
ext,CAP36,https://youpeliculas.box.com/shared/static/fni3kod6tvun6w5n5xucp6lg4h3zew3h.flv
ext,CAP37,https://youpeliculas.box.com/shared/static/h7k0peeui4vt1ar8qqrc16urr1j6ep6d.flv
ext,CAP38,https://youpeliculas.box.com/shared/static/79a2nnpn5wvuziggo456lf6qghys8z84.flv
ext,CAP39,https://youpeliculas.box.com/shared/static/nj9obigisyby7a8dbf6brmhapgop2rb5.flv
ext,CAP40,https://youpeliculas.box.com/shared/static/u2ztmxvcjwpgjie82sfo5molo985510i.flv
ext,CAP41,https://youpeliculas.box.com/shared/static/vt6q0nh69q40vvk4h5as9myogwpxqnzv.flv
ext,CAP42,https://youpeliculas.box.com/shared/static/dtlz8pz9vmgybet8l82ysbajiv8qh9z2.flv
ext,CAP43,https://youpeliculas.box.com/shared/static/nxjsg0ghmv5hkkfw2o8p6focv4hgvyeq.flv
ext,CAP44,https://youpeliculas.box.com/shared/static/1cdi39wodbynyzlxw3jpra15sm8rd4tl.flv
ext,CAP45,https://youpeliculas.box.com/shared/static/ihmjtna5ppatbbu6u3mviov39mmycvt9.flv
ext,CAP46,https://youpeliculas.box.com/shared/static/j70bknjurpgrwikxkvp4vadrtwh3r7aj.flv
ext,CAP47,https://youpeliculas.box.com/shared/static/vkz9c1yai7t01gmu69y36bbziz8ruuwb.flv
ext,CAP48,https://youpeliculas.box.com/shared/static/7j2enhgb8b2nc3pt38yi9surha9z10aq.flv
ext,CAP49,https://youpeliculas.box.com/shared/static/2r2akdvjywqr3etv4awuwsge12z1rziz.flv
ext,CAP50,https://youpeliculas.box.com/shared/static/ipg8j8j7o0gnbbe6dszvorhx1ha31ojz.flv
ext,CAP51,https://youpeliculas.box.com/shared/static/v86nrcida81kinph2jrra7s7prf0lfag.flv
ext,CAP52,https://youpeliculas.box.com/shared/static/cvharuok56b0vd912iyky9gox2g2ovnj.flv
ext,CAP53,https://youpeliculas.box.com/shared/static/xtwggqbw06f7jtlky05hdehuh65lh0ly.flv
ext,CAP54,https://youpeliculas.box.com/shared/static/oi9y9l4nodlng5ewnhycw8ua1m9dic96.flv
ext,CAP55,https://youpeliculas.box.com/shared/static/1ydx5p6rpfejtjorof21bh2r0ze3vech.flv
ext,CAP56,https://youpeliculas.box.com/shared/static/zsywh4e93ctj1qhz0feui79sdg7op9nj.flv
ext,CAP57,https://youpeliculas.box.com/shared/static/ne04zw39jadt5drgtn237cl3yx6whhc8.flv
ext,CAP58,https://youpeliculas.box.com/shared/static/i65tqu8js9tl7bd1kmy72s5o20ca1s8h.flv
ext,CAP59,https://youpeliculas.box.com/shared/static/n05o3b10ppvqx4rftydwnm4itg2wopjm.flv
ext,CAP60,https://youpeliculas.box.com/shared/static/qwuakul6kr29ap14ksfijkwao1gj7pnf.flv
ext,CAP61,https://youpeliculas.box.com/shared/static/kzmwnjksl12hijdbad669ubuucv1z1wp.flv
ext,CAP62,https://youpeliculas.box.com/shared/static/oxsl2xx3ue32xlk3hs50impn6wkph3mf.flv
ext,CAP63,https://youpeliculas.box.com/shared/static/qp91ou16wgmievrknvrxnpqjbp8j3sp9.flv
ext,CAP64,https://youpeliculas.box.com/shared/static/yzlli5swlq9938lcd9vej4bp789ja3ub.flv
ext,CAP65,https://youpeliculas.box.com/shared/static/ncgjig7nn5s5wj8mhu7fmc8qcwi64h1v.flv
avi,CAP66,https://youpeliculas.box.com/shared/static/9yzg3daqg90uks77i1wg4r4nh9d6b064.mkv
ext,CAP67,https://youpeliculas.box.com/shared/static/utmfxgo6wvcm8dzdv5pvoueiwpwt7dz8.flv
ext,CAP68,https://youpeliculas.box.com/shared/static/a9gp9x7qlytjdj2xxpkvbcd9813o0r10.flv
ext,CAP69,https://youpeliculas.box.com/shared/static/dyqiinyozgfm7hj7u25r9n64d8devpjp.flv
ext,CAP70,https://youpeliculas.box.com/shared/static/9uhev42gk27m9q5nvptphu2h9c44oivi.flv
ext,CAP71,https://youpeliculas.box.com/shared/static/usbp0tzfm8n00uc1thzgcauocwn2dx71.flv
ext,CAP72,https://youpeliculas.box.com/shared/static/wb7xhydfxuxze7uni5izuklmsalqj9c4.flv
ext,CAP73,https://youpeliculas.box.com/shared/static/w6zoulil88ho57bi45ikmkihqf2zpuf9.flv
ext,CAP74,https://youpeliculas.box.com/shared/static/p6tzsnal5zd2yuntjxnriuxpajldh6c5.flv
ext,CAP75,https://youpeliculas.box.com/shared/static/zlkoje94ezovpyzd5ihvv7d0rmrrw0w1.flv
ext,CAP76,https://youpeliculas.box.com/shared/static/vhr46veodzehkxvytgfbuuarg9cqgrz5.flv
ext,CAP77,https://youpeliculas.box.com/shared/static/13fw52dsnuo7eosapjrgfa2l6mqga3a5.flv
ext,CAP78,https://youpeliculas.box.com/shared/static/cyiupfbxnidrxuv2i4586rmflpa3xdnl.flv
ext,CAP79,https://youpeliculas.box.com/shared/static/2rorknb2yuurjoie1u9wr3k9rli55uks.flv
ext,CAP80,https://youpeliculas.box.com/shared/static/s13lxljb04dltevld0fr0v8rwpz7afgq.flv
ext,CAP81,https://youpeliculas.box.com/shared/static/cqpnu6u8e1c9v8dvtc3sk85ityxmvkk0.flv
ext,CAP82,https://youpeliculas.box.com/shared/static/bkltpwje24wqgh83m4zved16t5czpxhy.flv
ext,CAP83,https://youpeliculas.box.com/shared/static/vefh2mn75hi6cjun58ix3e3ak9o09gt9.flv
ext,CAP84,https://youpeliculas.box.com/shared/static/9xenp3c5w8q8l7vq29t5vwxlrw9cmbj4.flv
ext,CAP85,https://youpeliculas.box.com/shared/static/c12kzh9n21olhtun2sujdaextkxgv9xa.flv
ext,CAP86,https://youpeliculas.box.com/shared/static/iqo2zz646dvmmlpjilvryu56s3vsfktl.flv
avi,CAP87,https://youpeliculas.box.com/shared/static/ffmovbft3xanrolmsgjzxb8qgt1d3kmf.mkv
ext,CAP88,https://youpeliculas.box.com/shared/static/oterm8q9b3t6zqyz24iiw6vu7ysqx6fc.flv
ext,CAP89,https://youpeliculas.box.com/shared/static/3qauawdjdww53bcehjr5jkasiw0mskxd.flv
ext,CAP90,https://youpeliculas.box.com/shared/static/zasdz7309rb68623rh2xhziokvm28u0x.flv
ext,CAP91,https://youpeliculas.box.com/shared/static/2a471sptym5uhh6aw3ikekckjnjelife.flv
ext,CAP92,https://youpeliculas.box.com/shared/static/zndo8ly56h4jt4375sbtd1om8pjx4pbc.flv
ext,CAP93,https://youpeliculas.box.com/shared/static/xlifj44drzlq0v5zn07bxjore9s4d2di.flv
ext,CAP94,https://youpeliculas.box.com/shared/static/e1fj2fwtb53p6lixvl3bvx3qvwoqs2gu.flv
ext,CAP95,https://youpeliculas.box.com/shared/static/w3ir3m9jd6nyli5lsq60a1gegzr7sr89.flv
ext,CAP96,https://youpeliculas.box.com/shared/static/bn6dblagpximn6r0k8fo404izzfl19yz.flv
ext,CAP97,https://youpeliculas.box.com/shared/static/djdn2n37bn7vtsvz0ltj49a6xxae1bl0.flv
ext,CAP98,https://youpeliculas.box.com/shared/static/15r3jj1dom4j8mwwo4u5pf6obnajodmc.flv
ext,CAP99,https://youpeliculas.box.com/shared/static/2uxr7fxl8cpjxgyat52hvlztjzrtiyzm.flv
ext,CAP100,https://youpeliculas.box.com/shared/static/gud9audtavugt4e7gsrwfjh7ywqdl1kc.flv
ext,CAP101,https://youpeliculas.box.com/shared/static/6guw4bz4z5m8t4ayz1evzbsgrmh9gc5b.flv
ext,CAP102,https://youpeliculas.box.com/shared/static/vsk64vap38ml8unpkm0rz24p6vob85o2.flv
ext,CAP103,https://youpeliculas.box.com/shared/static/0mtnjl2alasdurk4kq1j0qhe2z6wnwd9.flv
ext,CAP104,https://youpeliculas.box.com/shared/static/to9scctngn0516rk0iahzk0d5kab4v2x.flv
ext,CAP105,https://youpeliculas.box.com/shared/static/wdkfcv3irls2dnvvq19kna2ed09316o0.flv
ext,CAP106,https://youpeliculas.box.com/shared/static/stgji776e9y2lxe5965jewjp0gualch9.flv
ext,CAP107,https://youpeliculas.box.com/shared/static/klcyuoqpc74lxmk8as2x0ea2y7ozzeu7.flv
ext,CAP108,https://youpeliculas.box.com/shared/static/o515vk9jgpb7cgw6cx15wdi8nwn2yuxm.flv
avi,CAP109,https://youpeliculas.box.com/shared/static/l5sj494rr6ldsrrkods0tc3rxd0ycbwg.mkv
ext,CAP110,https://youpeliculas.box.com/shared/static/z839x0lyxbjkn0fcetgv4mi16v6g2mle.flv
ext,CAP111,https://youpeliculas.box.com/shared/static/ygnw2ag8q8izfxb0jpjtu57krj6h43c2.flv
ext,CAP112,https://youpeliculas.box.com/shared/static/czwdpwpc7kum59w7qfeln4863vuvxsz7.flv
ext,CAP113,https://youpeliculas.box.com/shared/static/rwzvc7elq2eakxxsyrxfy7nj9iq19qda.flv
ext,CAP114,https://youpeliculas.box.com/shared/static/bitinynrfy3uakhbru6nr1b303dc37he.flv
ext,CAP115,https://youpeliculas.box.com/shared/static/x5ctkvusse2869piiqob4fz5zij6tzas.flv
ext,CAP116,https://youpeliculas.box.com/shared/static/cx32vwxzau2l03gkmivn2pymb06v3hor.flv
ext,CAP117,https://youpeliculas.box.com/shared/static/k6ng1snijy3a3rvirgfpt9vnjpzszot4.flv
ext,CAP118,https://youpeliculas.box.com/shared/static/ae5dbxttw8l7omkqn9lewkg6jiasf31i.flv
ext,CAP119,https://youpeliculas.box.com/shared/static/y151c4tlg5q036oj0vcebiil4c7dx7us.flv
ext,CAP120,https://youpeliculas.box.com/shared/static/c9awm9j9v21p1av77k19sqh0gb0x56vo.flv
ext,CAP121,https://youpeliculas.box.com/shared/static/kc04i48e1qhgksvqs9hb9x1sc9lmzsit.flv
ext,CAP122,https://youpeliculas.box.com/shared/static/kys74hmi5aosi1ptaz15zo97n890io4g.flv
ext,CAP123,https://youpeliculas.box.com/shared/static/mumsv604cj5jbkypfohclsvf98ilbgv4.flv
ext,CAP124,https://youpeliculas.box.com/shared/static/rds726nqm3ktkehldvue6907pdy5p20x.flv
ext,CAP125,https://youpeliculas.box.com/shared/static/wvp10pov00u807dkkuwzc6chhju8w0xp.flv
ext,CAP126,https://youpeliculas.box.com/shared/static/eitvc5s4qq5urmwun2882x5ajhh3ewpy.flv
ext,CAP127,https://youpeliculas.box.com/shared/static/rig7hjvxqbq2oc99qcycs8407om4s1i6.flv
avi,CAP128,https://youpeliculas.box.com/shared/static/uhdh5pec190wol0ugb9u4xf9sa1k3mgz.mkv
ext,CAP129,https://youpeliculas.box.com/shared/static/b1purh41iuan4u3jzk7gqivjsjh9nlsw.flv
ext,CAP130,https://youpeliculas.box.com/shared/static/66vyq2gnk5xliqorvygdoqzcs09iv4pw.flv
ext,CAP131,https://youpeliculas.box.com/shared/static/rn1ujixpgpzxdft7g7o8je4lvppmxsi9.flv
ext,CAP132,https://youpeliculas.box.com/shared/static/uwt67362vtblhfu90h0j57yawfbzfif0.flv
ext,CAP133,https://youpeliculas.box.com/shared/static/kbd6jvt3pbsh8f2mqsmgr6ddeyf8l992.flv
ext,CAP134,https://youpeliculas.box.com/shared/static/vm4s7csqdid2sjgqqkz57mu4i2dw1fgv.flv
ext,CAP135,https://youpeliculas.box.com/shared/static/jg18g44jegdc2v0l65zr7usf6wua383c.flv
ext,CAP136,https://youpeliculas.box.com/shared/static/z1smvkyz8kfegelos8danjjlqiwtgfbz.flv
ext,CAP137,https://youpeliculas.box.com/shared/static/gorlmhef3agtf8mmhusp3ei576h6wqco.flv
ext,CAP138,https://youpeliculas.box.com/shared/static/6a7ihfq6xkmrmi7qe3s8zbyupkdqldl6.flv
ext,CAP139,https://youpeliculas.box.com/shared/static/e1fj2fwtb53p6lixvl3bvx3qvwoqs2gu.flv
ext,Henry Hugglemonster Roarsome Tales (2014).Capitulo 1,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!117&authkey=!AKJJTtp6gyuu47E&ithint=file%2cmkv
ext,Henry Hugglemonster Roarsome Tales (2014).Capitulo 2,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!115&authkey=!ALpY1sFnKCgIXxI&ithint=file%2cmkv
ext,Henry Hugglemonster Roarsome Tales (2014).Capitulo 3,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!116&authkey=!ADuvU9u2Y99KCgE&ithint=file%2cmkv
ext,Henry Hugglemonster Roarsome Tales (2014).Capitulo 4,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!118&authkey=!AH5VdocrSTagFT0&ithint=file%2cmkv
ext,Henry Hugglemonster Roarsome Tales (2014).Capitulo 5,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!119&authkey=!AAlZW5fXG3foZiQ&ithint=file%2cmkv
ext,Henry Hugglemonster Roarsome Tales (2014).Capitulo 6,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!120&authkey=!APjilfuyHG8gGxc&ithint=file%2cmkv
ext,Henry Hugglemonster Dvd (2013).Capitulo 1[/COLOR],https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!121&authkey=!ACLENxswssHMucE&ithint=file%2cmkv
ext,Henry Hugglemonster Dvd (2013).Capitulo 2,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!122&authkey=!AKQUnWWQMjUo17g&ithint=file%2cmkv
ext,Henry Hugglemonster Dvd (2013).Capitulo 3,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!123&authkey=!AAWlsvmlPawtXOI&ithint=file%2cmkv
ext,Henry Hugglemonster Dvd (2013).Capitulo 4,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!124&authkey=!AAtV8MqnU7HJVJ0&ithint=file%2cmkv
ext,Henry Hugglemonster Dvd (2013).Capitulo 5,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!125&authkey=!AO-ummJXH10Ypfk&ithint=file%2cmkv
ext,Henry Hugglemonster Dvd (2013).Capitulo 6,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!126&authkey=!AJGEq4fu-Q4FBbg&ithint=file%2cmkv
ext,La Casa de Mickey Mouse - El Hipo de Donald,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!128&authkey=!AJfbU0a13Q6qpLU&ithint=video%2cavi
ext,La Casa de Mickey Mouse - El Bubu De Oro,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!129&authkey=!AF5w5ZCOJUyQrVg&ithint=video%2cavi
ext,La Casa de Mickey Mouse - Goofy Desaparece,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!130&authkey=!AOV0BSQ6siY21UU&ithint=video%2cavi
ext,La Casa de Mickey Mouse - Mickey va a pescar,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!132&authkey=!AMVGI149DRYjzXE&ithint=video%2cavi
ext,La Casa de Mickey Mouse - La Minnie Durmiente,https://onedrive.live.com/download.aspx?resid=14fd8e15a50899ed!131&authkey=!AJoLzKTEKTfGEVU&ithint=video%2cavi
avi,ALADDIN,http://www.spruto.tv/get_file/1/38577f19393369cb2c5d785beb3c3ffc/80000/80730/80730.mp4
avi,ALADDIN 2 EL RETORNO DE JAFAR,http://www.spruto.tv/get_file/5/b66d5c46890169c4100a2d1efdc8c45c/110000/110198/110198.mp4
avi,ALADDIN Y EL REY DE LOS LADRONES,http://www.spruto.tv/get_file/5/ca110c858858a9f44749dfaac0220c9a/110000/110199/110199.mp4
avi,ALICIA EN EL PAIS DE LAS MARAVILLAS (1951),http://www.spruto.tv/get_file/1/6e54e785dcb21b63de42f4928ce68bf5/86000/86137/86137.mp4
avi,ALICIA EN EL PAIS DE LAS MARAVILLAS (2010),http://www.spruto.tv/get_file/7/f75b9e1cefffcd3087150b883fac3fc7/76000/76261/76261.mp4
avi,BARBIE SUPER PRINCESA,http://www.spruto.tv/get_file/2/296ed0c12d8f80128b04d333c08204c8/98000/98420/98420.mp4
avi,ENREDADOS,http://www.spruto.tv/get_file/1/03259f1f551f0a49262bb7850316fb3f/80000/80737/80737.mp4
avi,FROZEN UNA AVENTURA CONGELADA,http://www.spruto.tv/get_file/1/bcae57a2defea5dec966b96630b25aee/80000/80731/80731.mp4
avi,LA BELLA Y LA BESTIA,http://www.spruto.tv/get_file/1/c70f56a357964267dabbc26f0e3ab056/80000/80729/80729.mp4
avi,LA CENICIENTA (1950),http://www.spruto.tv/get_file/1/1f40df69b4937859479ea77516275841/80000/80739/80739.mp4
avi,LA CENICIENTA 2 UN SUEÑO HECHO REALIDAD,http://www.spruto.tv/get_file/5/e385ba2b56ffe07c86d12b21a0ba7075/110000/110193/110193.mp4
avi,LA PRINCESA Y EL SAPO,http://www.spruto.tv/get_file/1/0ca9aa377fdebc035473d0854dba27bd/80000/80733/80733.mp4
avi,LA SIRENITA,http://www.spruto.tv/get_file/1/4b064db0eb982aa0bbe454deab684473/80000/80728/80728.mp4
avi,LA SIRENITA 2 REGRESO AL MAR,http://www.spruto.tv/get_file/5/3285b40f685b8393955c2f6c6c2c3633/110000/110190/110190.mp4
avi,LA SIRENITA LOS COMIENZOS DE ARIEL,http://www.spruto.tv/get_file/5/a2ce2d450446df3680e88291f5265033/110000/110191/110191.mp4
avi,MULAN,http://www.spruto.tv/get_file/1/8743a11400fed1059155b246e8c16e80/80000/80735/80735.mp4
avi,MULAN 2,http://www.spruto.tv/get_file/7/cc0868b3bbd4d8af610469b429a57667/76000/76864/76864.mp4
avi,POCAHONTAS,http://www.spruto.tv/get_file/1/6cccbcf375881ff2d942fc3383e52cf8/80000/80732/80732.mp4
avi,POCAHONTAS 2,http://www.spruto.tv/get_file/5/089c5dc4e579784688380d9ce7cbff9a/110000/110200/110200.mp4
avi,VALIENTE,http://www.spruto.tv/get_file/1/bdbbca9f39a2dc67d1fd3af42a36065b/80000/80734/80734.mp4

group,Peliculas en Español Latino
avi,P-MENTES PELIGROSAS,https://ia600309.us.archive.org/34/items/b1fb1b3745.360/b1fb1b3745.360.mp4
avi,P-INTRUSOS,https://ia600309.us.archive.org/17/items/IntrrStream/INTRRS.mp4
avi,P-INDESTRUCTIBLES 3,https://ia600309.us.archive.org/4/items/industructibles/I%C3%91D3TRUC3.mp4
avi,P-FRANCOTIRADOR,https://ia600309.us.archive.org/0/items/FRCNTDR/FRCNTDR.mp4
avi,P-FOCUS,https://ia600309.us.archive.org/21/items/hemelgelvez4_gmail_FCS/FCS.mp4
avi,P-RESUCITADOS,https://ia800309.us.archive.org/21/items/1esucitados./1esucitados..mp4
avi,P-ROBOCOP,https://ia601507.us.archive.org/33/items/4obocop./4obocop..mp4
avi,P-DESTINO JUPITER,https://ia600309.us.archive.org/17/items/D3T1N0JUT3R/D3T1N0%20JUT3R.mp4
avi,APOCALIPSIS EN LOS ANGELES,http://www.spruto.tv/get_file/5/0eb819a9120b4cd7aa96e871c2807acf/109000/109075/109075.mp4
avi,HEROE DE CENTRO COMERCIAL,http://www.spruto.tv/get_file/2/d75649d825bf5f0ad32dcdf4fb3561bf/106000/106278/106278.mp4
avi,16 DESEOS,http://www.spruto.tv/get_file/2/6ca2d685d9bad2c5c1f4d73f5037ba4d/102000/102949/102949.mp4
ext,OBLIVION,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!169&authkey=!ALlQcEBQSgTfj30&ithint=file%2cmkv
ext,EX-MACHINA,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!176&authkey=!AIRwBJU0o_MhpvQ&ithint=file%2cmkv
ext,BIENVENIDOS AL AYER,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!174&authkey=!AKAn1h6osTFl6bo&ithint=file%2cmkv
ext,UNA NOCHE EN EL MUSEO 3,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!173&authkey=!AMX3kSBcw9Z8bLU&ithint=file%2cmkv
ext,MORTDECAI,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!170&authkey=!APC7EGmdKSrx4y0&ithint=file%2cmkv
ext,RUROUNI KENSHIN THE LEGEND ENDS HD,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!168&authkey=!APhOt9MDkETcs_Q&ithint=video%2cavi
ext,LA PIRAMIDE,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!166&authkey=!ABOyn1AqFuEwlAU&ithint=file%2cmkv
ext,LOS PINGUINOS DE PAPA,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!165&authkey=!ALtS6Q01iJDCmic&ithint=video%2cavi
ext,FOCUS 2015,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!164&authkey=!APSbsEce74WgNUI&ithint=file%2cmkv
ext,ESCOBAR PARAISO PERDIDO,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!163&authkey=!AC5OXxOqfIxDgEI&ithint=video%2cavi
ext,AVENTURA DE DOS NOCHES,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!162&authkey=!AGLx4bo2_juhVak&ithint=video%2cavi
ext,MALEFICA,https://onedrive.live.com/download.aspx?resid=ddd89122e94140c5!223&authkey=!AK_xPvm1-tWDv5k&ithint=file%2cmkv
ext,ALQUILER DE PADRINOS,https://onedrive.live.com/download.aspx?resid=9caf247c0ad78cb5!73727&authkey=!AMUxFf8m6pkCPnA&ithint=file%2cmkv
ext,50 SOMBRAS DE GRAY,https://onedrive.live.com/download.aspx?resid=9caf247c0ad78cb5!73652&authkey=!AOOliN6j1rYX-Ec&ithint=file%2cmkv
avi,AMERICAN PIE 2,http://www.spruto.tv/get_file/5/17c92456a3dd4ff4412579e9fd62468f/109000/109915/109915.mp4
avi,MUERTE EN BUENOS AIRES,http://www.spruto.tv/get_file/1/23371c1d4bf35de3ca1f9eee7224f978/86000/86331/86331.mp4
avi,EL CONJURO,http://www.spruto.tv/get_file/1/b980284784017250b9b0c826b104656a/86000/86338/86338.mp4
avi,ANARCHY,http://www.spruto.tv/get_file/1/823c0398a19c7448dd05bc165b0fe728/86000/86363/86363.mp4
avi,TURBO,http://www.spruto.tv/get_file/1/ed06b3932c73f428a3093371b1c84f85/86000/86337/86337.mp4
avi,LA PEOR NOCHE DE MI VIDA,http://www.spruto.tv/get_file/1/55492527a1a728e61205e2b5f0dd6f7e/86000/86335/86335.mp4
avi,TORTUGAS NINJAS 2014,http://www.spruto.tv/get_file/1/fa178b0eeee2729787cc80262308ee53/86000/86327/86327.mp4
avi,EL EXSORCISTA,http://www.spruto.tv/get_file/1/dd94ec691a5fdda0761ab47fab5ec2fa/84000/84913/84913.mp4
avi,LA ULTIMA Y NOS VAMOS,http://www.spruto.tv/get_file/5/b6cb2e3540e1f274c334f36ae1e35810/116000/116354/116354.mp4
avi,THE INTERVIEW,http://www.spruto.tv/get_file/5/782ea5b59943d4f6c605899d58294e05/115000/115514/115514.mp4
avi,X-MEN 2,http://www.spruto.tv/get_file/2/662a0f8847ad56f80b2422064f6e4534/105000/105714/105714.mp4
avi,CHAPIEE,http://www.spruto.tv/get_file/5/c0e48113fc2ef52a45381d909a729b4a/116000/116862/116862.mp4
avi,IRON MAN 3,http://www.spruto.tv/get_file/7/0eaa75a746e22a3f89fed8269a68bedb/78000/78196/78196.mp4
avi,LA DICTADURA PERFECTA,http://www.spruto.tv/get_file/2/588e561ff46cf4866914b732c8ad294b/105000/105729/105729.mp4
avi,NO SE ACEPTAN DEVOLUCIONES,http://www.spruto.tv/get_file/1/0dc75c7c7ae034d5a6b135e2e860f1b5/87000/87074/87074.mp4
avi,ELSA Y FREED,http://www.spruto.tv/get_file/2/32fb79cb3cfbb9ae0dbca2cf01fcc7ce/101000/101140/101140.mp4
avi,HONEY MOON,http://www.spruto.tv/get_file/2/3906a1067af27aeadfbff1e46b2df5ae/100000/100677/100677.mp4
avi,CANTINFLAS,http://www.spruto.tv/get_file/2/77e24f776fb6ad8b3b70104e7b36d2f5/92000/92263/92263.mp4
avi,NO GOOD DEED,http://www.spruto.tv/get_file/2/9cb6e21d1473df9dc2d0dc7cc0c35fc8/96000/96694/96694.mp4
avi,The.SpongeBob.Movie.Sponge.Out.of.Water,http://www.spruto.tv/get_file/5/94f668727d1741ec8c9f9239f1cc1f18/113000/113946/113946.mp4
avi,hell1100n,http://www.spruto.tv/get_file/2/ed31b761d2e79a09e4562d1fd55d3546/105000/105516/105516.mp4
avi,LA TORMENTA PERFECTA,http://www.spruto.tv/get_file/5/4e4aad29439fecbd49bec6f662cf28af/112000/112078/112078.mp4
avi,SI DECIDO QUEDARME,http://www.spruto.tv/get_file/2/9b10b5eba7e38b030f5f43c791232e01/89000/89860/89860.mp4
avi,LAS NOVIAS DE MIS AMIGOS,http://www.spruto.tv/get_file/1/74a868ab2199d5554acc4be5793b8b69/86000/86881/86881.mp4
avi,take3n-1,http://www.spruto.tv/get_file/1/ddd1223bf92310814da0e02360f78835/86000/86899/86899.mp4
avi,INDESTRUCTIBLES 3,http://www.spruto.tv/get_file/2/3d6ae49752d2838a142cb5b09afa9a80/89000/89391/89391.mp4
avi,TAMMY,http://www.spruto.tv/get_file/1/da244c0319e3ae01bf70ba73c17a90b2/86000/86886/86886.mp4
avi,as-above-so-below,http://www.spruto.tv/get_file/2/583172de5d7f85c223eec29558744438/90000/90894/90894.mp4
avi,HERMOSAS CRIATURAS,http://www.spruto.tv/get_file/1/ec0d0600daeeec97ebaa31311b47e954/86000/86754/86754.mp4
avi,LUCY,http://www.spruto.tv/get_file/2/1fb22fb18c1a240bdb16bc67982968b7/90000/90742/90742.mp4
avi,BOBO ESPONJA,http://www.spruto.tv/get_file/5/a6fd323327940b76a06e957ee96670f7/113000/113727/113727.mp4
avi,PINGUINOS DE MADAGASCAR,http://www.spruto.tv/get_file/2/8e14a58773e6cd4ae73bee47758fcc7d/100000/100361/100361.mp4
avi,EL REGALO PROMETIDO 2,http://www.spruto.tv/get_file/2/2dc6fd3f6415d8c7b1e100ae627fc0b5/94000/94901/94901.mp4
avi,I ORIGINS,http://www.spruto.tv/get_file/2/dc6c926a402161a14544bc453a82c6f0/95000/95189/95189.mp4
avi,THE PURGE,http://www.spruto.tv/get_file/2/68342a693b386c6dc3fe48f0d2b6ee6a/88000/88972/88972.mp4
avi,MIL PALABRAS,http://www.spruto.tv/get_file/1/9423b9ab396003b187bfe797cf0fa1ee/88000/88598/88598.mp4
avi,La Era de Hielo 3,http://www.spruto.tv/get_file/7/b87164d9bdbeb605d4300439829b589f/77000/77736/77736.mp4
ext,Bob Esponja Un Héroe Fuera Del Agua 2015 720P HD,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!243&authkey=!AL0aXUncXk6enYQ&ithint=file%2cmkv
ext,*La Dama de Negro*,https://onedrive.live.com/download.aspx?resid=586ec193eb89f537!177&authkey=!AMo7scXSn9uN8vw&ithint=file%2cmkv
