group,Colombia
Sony.mx,Sony,http://oneplay.tv/darkuzdev/?ch=SonyLA
WarnerHD.mx,WARNER HD,http://oneplay.tv/darkuzdev/?ch=WarnerLA
SyFy.mx,SyFy,http://oneplay.tv/darkuzdev/?ch=SyFyLASD
TruTVHD.mx,True Tv HD,http://oneplay.tv/darkuzdev/?ch=TruTVSD
AyE.mx,A&E,http://oneplay.tv/darkuzdev/?ch=AELatinoamericaHD
inv-discovery,InvestigationDiscovery,http://oneplay.tv/darkuzdev/?ch=InvDiscoverySD
TBS.mx,TBS,http://oneplay.tv/darkuzdev/?ch=TBSLASD
etv.gr,E!,http://oneplay.tv/darkuzdev/?ch=EentertaimentSD
ext,Euro Channel,http://oneplay.tv/darkuzdev/?ch=EurochannelLA
DistritoComedia.mx,Distrito Comedia,http://oneplay.tv/darkuzdev/?ch=DistritoComediaLA
ext,Comedia Central,http://oneplay.tv/darkuzdev/?ch=ComedyCentralLA

group,Peliculas
CineLatino.mx,Cine Latino,http://oneplay.tv/darkuzdev/?ch=CineLatinoSD
Fox1Este.ar,FOX 1 Este,http://oneplay.tv/darkuzdev/?ch=FOX1LASD
Fox1Oeste.ar,FOX 1 Oeste,http://oneplay.tv/darkuzdev/?ch=FOX1LASD
FoxFamilyW.mx,FOX Family,http://oneplay.tv/darkuzdev/?ch=FOXFamilyLASD
FoxComedy.ar,FOX Comedy,http://oneplay.tv/darkuzdev/?ch=FOXComedyLASD
FoxCinema.mx,FOX Cinema,http://oneplay.tv/darkuzdev/?ch=FoxCinemaSD
FoxActionHD.mx,FOX Action Este,http://oneplay.tv/darkuzdev/?ch=FOXACTIONLASD
FoxAction.cl,FOX Action Oeste,http://oneplay.tv/darkuzdev/?ch=FOXActionOesteLASD
FOXmovies.sl,FOX Movies,http://oneplay.tv/darkuzdev/?ch=FOXMoviesLASD
FoxClassics.mx,FOX Classics,http://oneplay.tv/darkuzdev/?ch=FOXClassicsLASD
HBOAdria.sl,HBO,http://oneplay.tv/darkuzdev/?ch=HBOLASD
HBO2.mx,HBO 2,http://oneplay.tv/darkuzdev/?ch=HBO2SD
HBOPlusEste.ar,HBO Plus Este,http://oneplay.tv/darkuzdev/?ch=HBOPlusLASD
HBOPlusOeste.ar,HBO Plus Oeste,http://oneplay.tv/darkuzdev/?ch=HBOPus2LASD
HBOSignature.mx,HBO Signature,http://oneplay.tv/darkuzdev/?ch=HBOSignatureLASD
Hbofamily.br,HBO Family,http://oneplay.tv/darkuzdev/?ch=HBOFamilyLASD
Maxup.br,Max Up,http://oneplay.tv/darkuzdev/?ch=MaxUPSD
MaxPrimeEste.ar,Max Prime Este,http://oneplay.tv/darkuzdev/?ch=MaxPrimeLASD
